name,tokens,toolCount,status,category,metric,metricSource,claudeTokens,claudeModel,sessionStartTokens,sessionStartIsFloor,toolNameTokens,instructionsTokens,crossCheckTokens,crossCheckCliVersion
duckduckgo,724,2,measured,community,41360,https://pypistats.org/packages/duckduckgo-mcp-server (PyPI weekly),,,6,false,6,0,661,v0.2.5
desktop-commander,11836,26,dynamic,community,38626,https://api.npmjs.org/downloads/point/last-week/@wonderwhy-er/desktop-commander (npm weekly),19305,claude-opus-5,99,true,99,,,
serena,8204,29,measured,community,28084,https://api.github.com/repos/oraios/serena (GitHub stars; installed from git),11494,claude-opus-5,138,false,109,29,6528,v0.2.5
gmail,,,auth-required,community,26678,https://api.npmjs.org/downloads/point/last-week/@gongrzhe/server-gmail-autoauth-mcp (npm weekly; needs OAuth keys file),,,,,,,,
pandoc,1425,1,measured,community,23590,https://pypistats.org/packages/mcp-pandoc (PyPI weekly),,,5,false,5,0,1426,v0.2.5
obsidian,2062,15,measured,community,23503,https://pypistats.org/packages/mcp-obsidian (PyPI weekly),,,92,false,92,0,2064,v0.2.5
searxng,1537,4,measured,community,22508,https://api.npmjs.org/downloads/point/last-week/mcp-searxng (npm weekly),,,27,false,27,0,1490,v0.2.5
slack,,,startup-failure,community,16956,https://api.npmjs.org/downloads/point/last-week/slack-mcp-server (npm weekly),,,,,,,,
playwright-community,2920,33,measured,community,16066,https://api.npmjs.org/downloads/point/last-week/@executeautomation/playwright-mcp-server (npm weekly),,,158,false,158,0,2925,v0.2.5
arxiv,3960,19,measured,community,13984,https://pypistats.org/packages/arxiv-mcp-server (PyPI weekly),,,84,false,84,0,3696,v0.2.5
mysql,393,3,measured,community,13634,https://pypistats.org/packages/mysql-mcp-server (PyPI weekly),,,12,false,12,0,332,v0.2.5
kubernetes,5268,23,measured,community,12374,https://api.npmjs.org/downloads/point/last-week/mcp-server-kubernetes (npm weekly; uses ~/.kube/config),9165,claude-opus-5,95,false,95,0,5089,v0.2.5
basic-memory,9188,23,measured,community,10460,https://pypistats.org/packages/basic-memory (PyPI weekly),12426,claude-opus-5,71,false,71,0,7113,v0.2.5
airtable,4207,16,measured,community,3022,https://api.npmjs.org/downloads/point/last-week/airtable-mcp-server (npm weekly),,,50,false,50,0,2533,v0.2.5
airbnb,486,2,measured,community,2599,https://api.npmjs.org/downloads/point/last-week/@openbnb/mcp-server-airbnb (npm weekly),,,10,false,10,0,486,v0.2.5
chrome-devtools,5717,29,measured,vendor-official,3288165,https://api.npmjs.org/downloads/point/last-week/chrome-devtools-mcp (npm weekly),,,98,false,98,0,5080,v0.2.5
comfyui-mcp,50640,41,measured,community,141905,https://api.npmjs.org/downloads/point/last-week/comfyui-mcp (npm weekly),,,428,false,140,288,50375,v0.2.5
agent-device,,,startup-failure,community,138188,https://api.npmjs.org/downloads/point/last-week/agent-device (npm weekly),,,,,,,,
appium-mcp,10267,31,measured,vendor-official,12466,https://api.npmjs.org/downloads/point/last-week/appium-mcp (npm weekly),,,328,false,164,164,9843,v0.2.5
codebase-memory-mcp,5258,15,measured,community,9040,https://api.npmjs.org/downloads/point/last-week/codebase-memory-mcp (npm weekly),,,205,false,55,150,4776,v0.2.5
kubernetes-containers,,,startup-failure,community,8556,https://api.npmjs.org/downloads/point/last-week/kubernetes-mcp-server (npm weekly),,,,,,,,
obsidian-rest,10173,12,measured,community,5784,https://api.npmjs.org/downloads/point/last-week/obsidian-mcp-server (npm weekly),,,65,false,65,0,5855,v0.2.5
bitbucket-mcp,6156,47,measured,community,5033,https://api.npmjs.org/downloads/point/last-week/bitbucket-mcp (npm weekly),,,230,false,230,0,6156,v0.2.5
hana-cli,,,startup-failure,vendor-official,3854,https://api.npmjs.org/downloads/point/last-week/hana-cli (npm weekly),,,,,,,,
clinicaltrialsgov,5134,7,measured,community,3123,https://api.npmjs.org/downloads/point/last-week/clinicaltrialsgov-mcp-server (npm weekly),,,54,false,54,0,2874,v0.2.5
accessibility-scanner,,,startup-failure,community,3068,https://api.npmjs.org/downloads/point/last-week/mcp-accessibility-scanner (npm weekly),,,,,,,,
keboola,,,auth-required,vendor-official,2907,https://pypistats.org/packages/keboola-mcp-server (PyPI weekly),,,,,,,,
octocode,13552,14,measured,community,1797,https://api.npmjs.org/downloads/point/last-week/octocode-mcp (npm weekly),,,791,false,64,727,13122,v0.2.5
anki,,,timeout,community,1716,https://api.npmjs.org/downloads/point/last-week/@ankimcp/anki-mcp-server (npm weekly),,,,,,,,
agentphone,6134,28,measured,community,7395,https://api.npmjs.org/downloads/point/last-week/agentphone-mcp (npm weekly),,,100,false,100,0,5613,v0.2.5
hevy,,,startup-failure,community,6107,https://api.npmjs.org/downloads/point/last-week/hevy-mcp (npm weekly),,,,,,,,
local-mcp,,,startup-failure,community,5122,https://api.npmjs.org/downloads/point/last-week/local-mcp (npm weekly; macOS host integration),,,,,,,,
emailmd,585,3,measured,community,4582,https://api.npmjs.org/downloads/point/last-week/emailmd (npm weekly),,,377,false,8,369,546,v0.2.5
githits,12600,16,measured,community,3790,https://api.npmjs.org/downloads/point/last-week/githits (npm weekly),,,53,false,53,0,12183,v0.2.5
windows-mcp,,,not-applicable,community,2818,https://pypistats.org/packages/windows-mcp (PyPI weekly; Windows host integration),,,,,,,,
yandex-tracker,,,auth-required,community,2275,https://pypistats.org/packages/yandex-tracker-mcp (PyPI weekly),,,,,,,,
ssh-manager,8446,37,measured,community,2117,https://api.npmjs.org/downloads/point/last-week/mcp-ssh-manager (npm weekly),,,143,false,143,0,8162,v0.2.5
google-surf,,,startup-failure,community,2016,https://api.npmjs.org/downloads/point/last-week/google-surf-mcp (npm weekly),,,,,,,,
safari-mcp,,,not-applicable,community,1772,https://api.npmjs.org/downloads/point/last-week/safari-mcp (npm weekly; macOS host integration),,,,,,,,
